2019-06-28 17:08:50,019 | Spider | INFO  | JD5164 三亚 16:55 17:35
2019-06-28 17:08:50,019 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[JD5164]出发地[杭州萧山]目的地[三亚]延误时间[40],不符合条件</font>
2019-06-28 17:08:50,112 | Spider | INFO  | <font color="green">[MF8195]航班延误时间计算中...</font>
2019-06-28 17:08:50,367 | Spider | INFO  | MF8195 太原 17:00 17:35
2019-06-28 17:08:50,369 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[MF8195]出发地[杭州萧山]目的地[太原]延误时间[35],不符合条件</font>
2019-06-28 17:08:50,543 | Spider | INFO  | <font color="green">[NS3305]航班延误时间计算中...</font>
2019-06-28 17:08:50,849 | Spider | INFO  | NS3305 泉州 17:00 17:40
2019-06-28 17:08:50,854 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[NS3305]出发地[杭州萧山]目的地[泉州]延误时间[40],不符合条件</font>
2019-06-28 17:08:50,998 | Spider | INFO  | <font color="green">[MF8011]航班延误时间计算中...</font>
2019-06-28 17:08:51,342 | Spider | INFO  | MF8011 香港 17:15 19:16
2019-06-28 17:08:51,342 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[MF8011]出发地[杭州萧山]目的地[香港]延误时间[121],不符合条件</font>
2019-06-28 17:08:51,463 | Spider | INFO  | <font color="green">[HU7392]航班延误时间计算中...</font>
2019-06-28 17:08:51,916 | Spider | INFO  | HU7392 深圳 17:35 18:42
2019-06-28 17:08:51,917 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[HU7392]出发地[杭州萧山]目的地[深圳]延误时间[67],不符合条件</font>
2019-06-28 17:08:54,656 | Spider | INFO  | <font color="green">[UQ2586]航班延误时间计算中...</font>
2019-06-28 17:08:54,979 | Spider | INFO  | UQ2586 敦煌 18:25 19:40
2019-06-28 17:08:54,979 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[UQ2586]出发地[杭州萧山]目的地[敦煌]延误时间[75],不符合条件</font>
2019-06-28 17:08:55,077 | Spider | INFO  | <font color="green">[MF8026]航班延误时间计算中...</font>
2019-06-28 17:08:55,404 | Spider | INFO  | MF8026 长沙 18:30 19:00
2019-06-28 17:08:55,405 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[MF8026]出发地[杭州萧山]目的地[长沙]延误时间[30],不符合条件</font>
2019-06-28 17:08:55,526 | Spider | INFO  | <font color="green">[MU5242]航班延误时间计算中...</font>
2019-06-28 17:08:55,824 | Spider | INFO  | MU5242 太原 19:00 19:35
